<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.04	11:15:00	1.04904	1.04949	1.04857	1.04948	1912	0	2
2024.12.04	11:30:00	1.04948	1.05022	1.04922	1.05001	2080	0	2
2024.12.04	11:45:00	1.05001	1.05063	1.04996	1.05029	1798	0	2
2024.12.04	12:00:00	1.05029	1.05077	1.05004	1.05068	1786	0	2
2024.12.04	12:15:00	1.05068	1.05094	1.04971	1.04990	1551	0	2
2024.12.04	12:30:00	1.04990	1.05018	1.04972	1.04998	1185	0	2
2024.12.04	12:45:00	1.04998	1.05032	1.04957	1.04992	1522	0	2
2024.12.04	13:00:00	1.04992	1.05070	1.04985	1.04997	1126	0	2
2024.12.04	13:15:00	1.04997	1.05045	1.04973	1.05041	1348	0	2
2024.12.04	13:30:00	1.05041	1.05125	1.05041	1.05119	987	0	2
2024.12.04	13:45:00	1.05119	1.05122	1.05021	1.05049	1170	0	2
2024.12.04	14:00:00	1.05049	1.05050	1.04967	1.04979	1316	0	2
2024.12.04	14:15:00	1.04979	1.05022	1.04967	1.04983	1208	0	2
2024.12.04	14:30:00	1.04983	1.05012	1.04955	1.05004	1436	0	2
2024.12.04	14:45:00	1.05004	1.05016	1.04879	1.04911	1490	0	2
2024.12.04	15:00:00	1.04911	1.04936	1.04871	1.04921	1441	0	2
2024.12.04	15:15:00	1.04912	1.04975	1.04835	1.04888	2288	0	2
2024.12.04	15:30:00	1.04888	1.04962	1.04798	1.04839	4103	0	2
2024.12.04	15:45:00	1.04839	1.04875	1.04792	1.04834	2605	0	2
2024.12.04	16:00:00	1.04835	1.04843	1.04722	1.04798	2382	0	2
2024.12.04	16:15:00	1.04798	1.04917	1.04774	1.04901	1752	0	2
2024.12.04	16:30:00	1.04901	1.04927	1.04842	1.04899	2243	0	2
2024.12.04	16:45:00	1.04899	1.04987	1.04889	1.04943	2868	0	2
2024.12.04	17:00:00	1.04943	1.05222	1.04942	1.05216	5964	0	2
2024.12.04	17:15:00	1.05216	1.05441	1.05199	1.05350	4207	0	2
2024.12.04	17:30:00	1.05349	1.05389	1.05219	1.05258	3601	0	2
2024.12.04	17:45:00	1.05259	1.05376	1.05185	1.05294	5437	0	2
2024.12.04	18:00:00	1.05294	1.05326	1.05227	1.05253	3056	0	2
2024.12.04	18:15:00	1.05253	1.05343	1.05202	1.05327	2626	0	2
2024.12.04	18:30:00	1.05329	1.05368	1.05213	1.05222	1901	0	2
2024.12.04	18:45:00	1.05222	1.05274	1.05211	1.05267	1461	0	2
2024.12.04	19:00:00	1.05267	1.05349	1.05250	1.05320	1529	0	2
2024.12.04	19:15:00	1.05320	1.05396	1.05320	1.05394	1341	0	2
2024.12.04	19:30:00	1.05394	1.05426	1.05329	1.05337	1053	0	2
2024.12.04	19:45:00	1.05337	1.05387	1.05333	1.05373	1083	0	2
2024.12.04	20:00:00	1.05373	1.05389	1.05330	1.05341	951	0	2
2024.12.04	20:15:00	1.05341	1.05351	1.05293	1.05319	1103	0	2
2024.12.04	20:30:00	1.05319	1.05362	1.05265	1.05282	820	0	2
2024.12.04	20:45:00	1.05282	1.05303	1.05152	1.05163	1273	0	2
2024.12.04	21:00:00	1.05163	1.05290	1.05076	1.05270	2846	0	3
2024.12.04	21:15:00	1.05270	1.05291	1.05071	1.05152	1974	0	2
2024.12.04	21:30:00	1.05152	1.05248	1.05091	1.05131	1959	0	2
2024.12.04	21:45:00	1.05131	1.05189	1.05110	1.05138	1544	0	2
2024.12.04	22:00:00	1.05138	1.05151	1.05113	1.05129	1095	0	2
2024.12.04	22:15:00	1.05129	1.05131	1.05048	1.05109	1028	0	2
2024.12.04	22:30:00	1.05109	1.05154	1.05104	1.05153	836	0	2
2024.12.04	22:45:00	1.05153	1.05174	1.05128	1.05130	1213	0	2
2024.12.04	23:00:00	1.05130	1.05158	1.05107	1.05107	560	0	2
2024.12.04	23:15:00	1.05107	1.05127	1.05099	1.05101	297	0	2
2024.12.04	23:30:00	1.05101	1.05109	1.05070	1.05080	295	0	3
2024.12.04	23:45:00	1.05080	1.05102	1.05078	1.05083	225	0	27
